horizontal_flip {'p': 0}
seed: 42, noise_scale: 0.1
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.518
Round: 2 f1_score: 0.3412384716732543
Round: 2 average_Acc_f1: 0.42961923583662714


Round: 5 Accuracy: 0.698
Round: 5 f1_score: 0.6966787325590271
Round: 5 average_Acc_f1: 0.6973393662795135


Round: 10 Accuracy: 0.678
Round: 10 f1_score: 0.6625459545338315
Round: 10 average_Acc_f1: 0.6702729772669158


Round: 20 Accuracy: 0.754
Round: 20 f1_score: 0.7507608885070374
Round: 20 average_Acc_f1: 0.7523804442535187


Round: 50 Accuracy: 0.832
Round: 50 f1_score: 0.831544496318044
Round: 50 average_Acc_f1: 0.831772248159022


Round: 100 Accuracy: 0.844
Round: 100 f1_score: 0.8437975616398853
Round: 100 average_Acc_f1: 0.8438987808199426


Round: 200 Accuracy: 0.886
Round: 200 f1_score: 0.8859776516197175
Round: 200 average_Acc_f1: 0.8859888258098587


