horizontal_flip {'p': 0}
seed: 42, noise_scale: 0.1
Round: 1 Accuracy: 0.614
Round: 1 f1_score: 0.6108478677286017
Round: 1 average_Acc_f1: 0.6124239338643008


Round: 2 Accuracy: 0.518
Round: 2 f1_score: 0.3412384716732543
Round: 2 average_Acc_f1: 0.42961923583662714


Round: 5 Accuracy: 0.722
Round: 5 f1_score: 0.7213032581453636
Round: 5 average_Acc_f1: 0.7216516290726818


Round: 10 Accuracy: 0.736
Round: 10 f1_score: 0.7351694915254237
Round: 10 average_Acc_f1: 0.7355847457627118


Round: 20 Accuracy: 0.812
Round: 20 f1_score: 0.8116987179487181
Round: 20 average_Acc_f1: 0.8118493589743591


Round: 50 Accuracy: 0.852
Round: 50 f1_score: 0.8518079430942501
Round: 50 average_Acc_f1: 0.851903971547125


Round: 100 Accuracy: 0.834
Round: 100 f1_score: 0.8335839598997494
Round: 100 average_Acc_f1: 0.8337919799498748


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.514
Round: 1000 f1_score: 0.35026390515457295
Round: 1000 average_Acc_f1: 0.4321319525772865


seed: 43, noise_scale: 0.1
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.668
Round: 2 f1_score: 0.667978750640041
Round: 2 average_Acc_f1: 0.6679893753200206


Round: 5 Accuracy: 0.688
Round: 5 f1_score: 0.6879550655294362
Round: 5 average_Acc_f1: 0.6879775327647181


Round: 10 Accuracy: 0.74
Round: 10 f1_score: 0.7395833333333333
Round: 10 average_Acc_f1: 0.7397916666666666


Round: 20 Accuracy: 0.836
Round: 20 f1_score: 0.8355553416438048
Round: 20 average_Acc_f1: 0.8357776708219025


Round: 50 Accuracy: 0.882
Round: 50 f1_score: 0.8819995279981119
Round: 50 average_Acc_f1: 0.881999763999056


Round: 100 Accuracy: 0.776
Round: 100 f1_score: 0.7701149425287357
Round: 100 average_Acc_f1: 0.7730574712643679


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.528
Round: 1000 f1_score: 0.4663048394391678
Round: 1000 average_Acc_f1: 0.4971524197195839


seed: 44, noise_scale: 0.1
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.55
Round: 2 f1_score: 0.4357366771159874
Round: 2 average_Acc_f1: 0.4928683385579937


Round: 5 Accuracy: 0.692
Round: 5 f1_score: 0.6851024848276652
Round: 5 average_Acc_f1: 0.6885512424138326


Round: 10 Accuracy: 0.758
Round: 10 f1_score: 0.7554557617451969
Round: 10 average_Acc_f1: 0.7567278808725985


Round: 20 Accuracy: 0.846
Round: 20 f1_score: 0.8455496226997926
Round: 20 average_Acc_f1: 0.8457748113498963


Round: 50 Accuracy: 0.884
Round: 50 f1_score: 0.883953581432573
Round: 50 average_Acc_f1: 0.8839767907162865


Round: 100 Accuracy: 0.832
Round: 100 f1_score: 0.8311245496654658
Round: 100 average_Acc_f1: 0.8315622748327329


Round: 200 Accuracy: 0.482
Round: 200 f1_score: 0.3252361673414305
Round: 200 average_Acc_f1: 0.4036180836707153


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.514
Round: 1000 f1_score: 0.3394980184940554
Round: 1000 average_Acc_f1: 0.42674900924702774


-------------------------------------------------------------------------------------
seed: 42, noise_scale: 0.2
Round: 1 Accuracy: 0.614
Round: 1 f1_score: 0.6108478677286017
Round: 1 average_Acc_f1: 0.6124239338643008


Round: 2 Accuracy: 0.518
Round: 2 f1_score: 0.3412384716732543
Round: 2 average_Acc_f1: 0.42961923583662714


Round: 5 Accuracy: 0.716
Round: 5 f1_score: 0.7145200720535254
Round: 5 average_Acc_f1: 0.7152600360267627


Round: 10 Accuracy: 0.736
Round: 10 f1_score: 0.7346242923314462
Round: 10 average_Acc_f1: 0.735312146165723


Round: 20 Accuracy: 0.836
