horizontal_flip {'p': 0}
seed: 42, noise_scale: 0.1
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.518
Round: 2 f1_score: 0.3412384716732543
Round: 2 average_Acc_f1: 0.42961923583662714


Round: 5 Accuracy: 0.702
Round: 5 f1_score: 0.7013680948887846
Round: 5 average_Acc_f1: 0.7016840474443923


Round: 10 Accuracy: 0.644
Round: 10 f1_score: 0.6164520521969972
Round: 10 average_Acc_f1: 0.6302260260984986


Round: 20 Accuracy: 0.746
Round: 20 f1_score: 0.7421623443330532
Round: 20 average_Acc_f1: 0.7440811721665266


Round: 50 Accuracy: 0.832
Round: 50 f1_score: 0.8316741210984466
Round: 50 average_Acc_f1: 0.8318370605492234


Round: 100 Accuracy: 0.848
Round: 100 f1_score: 0.8479781088476741
Round: 100 average_Acc_f1: 0.8479890544238371


Round: 200 Accuracy: 0.846
Round: 200 f1_score: 0.8459254279071071
Round: 200 average_Acc_f1: 0.8459627139535535


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.548
Round: 1000 f1_score: 0.47540435646506096
Round: 1000 average_Acc_f1: 0.5117021782325305


seed: 43, noise_scale: 0.1
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.554
Round: 2 f1_score: 0.4356116400670179
Round: 2 average_Acc_f1: 0.494805820033509


Round: 5 Accuracy: 0.716
Round: 5 f1_score: 0.7141706924315621
Round: 5 average_Acc_f1: 0.715085346215781


Round: 10 Accuracy: 0.71
Round: 10 f1_score: 0.7061815352318734
Round: 10 average_Acc_f1: 0.7080907676159367


Round: 20 Accuracy: 0.772
Round: 20 f1_score: 0.7712827426810478
Round: 20 average_Acc_f1: 0.7716413713405239


Round: 50 Accuracy: 0.812
Round: 50 f1_score: 0.8106640455050839
Round: 50 average_Acc_f1: 0.811332022752542


Round: 100 Accuracy: 0.864
Round: 100 f1_score: 0.8639978239651833
Round: 100 average_Acc_f1: 0.8639989119825917


Round: 200 Accuracy: 0.838
Round: 200 f1_score: 0.8379837983798379
Round: 200 average_Acc_f1: 0.8379918991899189


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.486
Round: 1000 f1_score: 0.36398418127193266
Round: 1000 average_Acc_f1: 0.4249920906359663


seed: 44, noise_scale: 0.1
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.52
Round: 2 f1_score: 0.34582088575852066
Round: 2 average_Acc_f1: 0.43291044287926034


Round: 5 Accuracy: 0.636
Round: 5 f1_score: 0.6030776746458232
Round: 5 average_Acc_f1: 0.6195388373229116


Round: 10 Accuracy: 0.702
Round: 10 f1_score: 0.6968772251042621
Round: 10 average_Acc_f1: 0.699438612552131


Round: 20 Accuracy: 0.78
Round: 20 f1_score: 0.7798273846695809
Round: 20 average_Acc_f1: 0.7799136923347905


Round: 50 Accuracy: 0.822
Round: 50 f1_score: 0.8211235051753593
Round: 50 average_Acc_f1: 0.8215617525876796


Round: 100 Accuracy: 0.836
Round: 100 f1_score: 0.8359343737494997
Round: 100 average_Acc_f1: 0.8359671868747498


Round: 200 Accuracy: 0.852
Round: 200 f1_score: 0.8518482926516753
Round: 200 average_Acc_f1: 0.8519241463258376


Round: 500 Accuracy: 0.482
Round: 500 f1_score: 0.3252361673414305
Round: 500 average_Acc_f1: 0.4036180836707153


Round: 1000 Accuracy: 0.53
Round: 1000 f1_score: 0.41329498529492537
Round: 1000 average_Acc_f1: 0.4716474926474627


-------------------------------------------------------------------------------------
seed: 42, noise_scale: 0.2
Round: 1 Accuracy: 0.518
Round: 1 f1_score: 0.3412384716732543
Round: 1 average_Acc_f1: 0.42961923583662714


Round: 2 Accuracy: 0.518
Round: 2 f1_score: 0.3412384716732543
Round: 2 average_Acc_f1: 0.42961923583662714


Round: 5 Accuracy: 0.71
Round: 5 f1_score: 0.7099988399953601
Round: 5 average_Acc_f1: 0.70999941999768


